date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:06	355957/355957	---M--	200	added ('OK')	image/jpeg	etag:%2256e75-572f7697db9df%22	https://template.kendytheme.net/tancho/images/posts/7.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/7.jpg	(from https://template.kendytheme.net/tancho/)
20:41:06	469632/469632	---M--	200	added ('OK')	image/jpeg	etag:%2272a80-572f7695c4761%22	https://template.kendytheme.net/tancho/images/posts/4.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/4.jpg	(from https://template.kendytheme.net/tancho/)
20:41:06	26629/26629	---M--	200	added ('OK')	image/jpeg	etag:%226805-572f7686d24b0%22	https://template.kendytheme.net/tancho/images/instagram/1.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/1.jpg	(from https://template.kendytheme.net/tancho/)
20:41:06	15194/15194	---M--	200	added ('OK')	image/jpeg	etag:%223b5a-572f7687c092f%22	https://template.kendytheme.net/tancho/images/instagram/2.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/2.jpg	(from https://template.kendytheme.net/tancho/)
20:41:06	145735/145735	---M--	200	added ('OK')	image/jpeg	etag:%2223947-572f7699652be%22	https://template.kendytheme.net/tancho/images/posts/9.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/9.jpg	(from https://template.kendytheme.net/tancho/)
20:41:06	11798/11798	---M--	200	added ('OK')	image/jpeg	etag:%222e16-572f7687bda4f%22	https://template.kendytheme.net/tancho/images/instagram/3.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/3.jpg	(from https://template.kendytheme.net/tancho/)
20:41:07	32418/32418	---M--	200	added ('OK')	image/jpeg	etag:%227ea2-572f7688e58ae%22	https://template.kendytheme.net/tancho/images/instagram/4.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/4.jpg	(from https://template.kendytheme.net/tancho/)
20:41:07	31470/31470	---M--	200	added ('OK')	image/jpeg	etag:%227aee-572f7688e490e%22	https://template.kendytheme.net/tancho/images/instagram/5.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/5.jpg	(from https://template.kendytheme.net/tancho/)
20:41:07	37259/37259	---M--	200	added ('OK')	image/jpeg	etag:%22918b-572f768a0b7cd%22	https://template.kendytheme.net/tancho/images/instagram/6.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/6.jpg	(from https://template.kendytheme.net/tancho/)
20:41:07	32898/32898	---M--	200	added ('OK')	image/jpeg	etag:%228082-572f768a02b2d%22	https://template.kendytheme.net/tancho/images/instagram/7.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/7.jpg	(from https://template.kendytheme.net/tancho/)
20:41:07	30286/30286	---M--	200	added ('OK')	image/jpeg	etag:%22764e-572f768b1af8c%22	https://template.kendytheme.net/tancho/images/instagram/8.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/8.jpg	(from https://template.kendytheme.net/tancho/)
20:41:08	40776/40776	---M--	200	added ('OK')	image/jpeg	etag:%229f48-572f768b4ad2c%22	https://template.kendytheme.net/tancho/images/instagram/9.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/9.jpg	(from https://template.kendytheme.net/tancho/)
20:41:08	16141/16141	---M--	200	added ('OK')	image/jpeg	etag:%223f0d-572f7686c9810%22	https://template.kendytheme.net/tancho/images/instagram/10.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/instagram/10.jpg	(from https://template.kendytheme.net/tancho/)
20:41:08	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8b-572f769d82e1a-gzip%22	https://template.kendytheme.net/tancho/js/libs/jquery-1.12.4.min.js	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/js/libs/jquery-1.12.4.min.js	(from https://template.kendytheme.net/tancho/)
20:41:08	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:%225e27-572f769fcdcb7-gzip%22	https://template.kendytheme.net/tancho/js/libs/masonry.pkgd.min.js	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/js/libs/masonry.pkgd.min.js	(from https://template.kendytheme.net/tancho/)
20:41:09	5594/5594	---M-Z	200	added ('OK')	application/javascript	etag:%2215da-572f769be4d1b-gzip%22	https://template.kendytheme.net/tancho/js/libs/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/js/libs/imagesloaded.pkgd.min.js	(from https://template.kendytheme.net/tancho/)
20:41:09	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%22b7e-572f80bc9bc8b-gzip%22	https://template.kendytheme.net/tancho/js/scripts.js	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/js/scripts.js	(from https://template.kendytheme.net/tancho/)
20:41:09	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-572f767c3485a%22	https://template.kendytheme.net/tancho/css/fonts/fontawesome-webfont.eot?v=4.2.0	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/fontawesome-webfont78ce.eot	(from https://template.kendytheme.net/tancho/css/libs/font-awesome.min.css)
20:41:10	65452/65452	---M--	200	added ('OK')	application/x-font-woff	etag:%22ffac-572f767f22857%22	https://template.kendytheme.net/tancho/css/fonts/fontawesome-webfont.woff?v=4.2.0	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/fontawesome-webfont78ce.woff	(from https://template.kendytheme.net/tancho/css/libs/font-awesome.min.css)
20:41:10	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dac6-572f767c3485a%22	https://template.kendytheme.net/tancho/css/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/fontawesome-webfontd41d.eot	(from https://template.kendytheme.net/tancho/css/libs/font-awesome.min.css)
20:41:10	336/336	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:12%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.eot	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:10	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%224611f-572f767cb955a%22	https://template.kendytheme.net/tancho/css/fonts/fontawesome-webfont.svg?v=4.2.0	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/fontawesome-webfont78ce.svg	(from https://template.kendytheme.net/tancho/css/libs/font-awesome.min.css)
20:41:10	112160/112160	---M--	200	added ('OK')	text/html	etag:%221b620-572f767da6a39%22	https://template.kendytheme.net/tancho/css/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/fontawesome-webfont78ce.html	(from https://template.kendytheme.net/tancho/css/libs/font-awesome.min.css)
20:41:10	336/336	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:12%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regulard41d.eot	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:11	338/338	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:12%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.woff2	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:11	337/337	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:12%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.woff	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:11	336/336	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:13%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.ttf	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:11	336/336	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20May%202019%2015:11:13%20GMT	https://template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/css/fonts/glyphicons-halflings-regular.svg	(from https://template.kendytheme.net/tancho/css/libs/bootstrap.min.css)
20:41:12	125299/125299	---M--	200	added ('OK')	image/jpeg	etag:%221e973-572f768e88e68%22	https://template.kendytheme.net/tancho/images/posts/10.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/10.jpg	(from https://template.kendytheme.net/tancho/index-grid.html)
20:41:12	250939/250939	---M--	200	added ('OK')	image/jpeg	etag:%223d43b-572f7691ccd65%22	https://template.kendytheme.net/tancho/images/posts/12.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/12.jpg	(from https://template.kendytheme.net/tancho/index-list.html)
20:41:13	4086/4086	---M--	200	added ('OK')	image/png	etag:%22ff6-572f767768fbf%22	https://template.kendytheme.net/tancho/images/sign.png	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/sign.png	(from https://template.kendytheme.net/tancho/about.html)
20:41:13	225114/225114	---M--	200	added ('OK')	image/jpeg	etag:%2236f5a-572f7690cfe86%22	https://template.kendytheme.net/tancho/images/posts/11.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/posts/11.jpg	(from https://template.kendytheme.net/tancho/index-grid.html)
20:41:13	338068/338068	---M--	200	added ('OK')	image/jpeg	etag:%2252894-572f7678cd6de%22	https://template.kendytheme.net/tancho/images/single.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/single.jpg	(from https://template.kendytheme.net/tancho/single.html)
20:41:13	190094/190094	---M--	200	added ('OK')	image/jpeg	etag:%222e68e-572f76735ece3%22	https://template.kendytheme.net/tancho/images/about.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/about.jpg	(from https://template.kendytheme.net/tancho/about.html)
20:41:13	30360/30360	---M--	200	added ('OK')	image/jpeg	etag:%227698-572f767499422%22	https://template.kendytheme.net/tancho/images/avatar.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/avatar.jpg	(from https://template.kendytheme.net/tancho/single.html)
20:41:13	30360/30360	---M--	200	added ('OK')	image/jpeg	etag:%227698-572f76742fca2%22	https://template.kendytheme.net/tancho/images/avatar-150px.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/avatar-150px.jpg	(from https://template.kendytheme.net/tancho/single.html)
20:41:14	302285/302285	---M--	200	added ('OK')	image/jpeg	etag:%2249ccd-572f7675f9cc0%22	https://template.kendytheme.net/tancho/images/contact.jpg	C:/My%20Web%20Sites/infi/template.kendytheme.net/tancho/images/contact.jpg	(from https://template.kendytheme.net/tancho/contact.html)
